Kategorie;Epoche;Schwierigkeit;Komponist;Titel;Besetzung;Verlag
Klavier Solo ;Klassik;mittel;Mozart, Wolfgang Amadeus;Sonate D-Dur KV 284;Klavier;Henle 1
Klavier Solo ;Klassik;mittel;Mozart, Wolfgang Amadeus;Sonate G-Dur KV 283;Klavier;Henle 601
Klavier Solo ;Klassik;mittel;Mozart, Wolfgang Amadeus;Variationen (Ah! Vous dirai-je maman) KV 265;Klavier;Bärenreiter BA 4779, HN 165, sch ED 09 197
Klavier Solo ;Klassik;mittel;Méhul, Etienne-Nicolas;Sonate A-Dur op. 1, 3;Klavier;Breitkopf und Härtel 8108
Klavier Solo ;Klassik;mittel;Paradies, Pietro Domenico;Sonate di Gravicembalo  Bd. 1 (Nr. 1-6), Bd. 2 (Nr. 7-12);Klavier;Schott ED 6120, 6121
Klavier Solo ;Klassik;mittel;Steffan, Joseph Anton;Capricci;Klavier;Henle 227
Klavier Solo ;Klassik;mittel;Zelter, Carl Friedrich;Rondo mit Variationen (1782);Klavier;"Ries &amp; Erler RE 10058"
Klavier Solo ;Neue Musik;mittel;Alain, Jehan Ariste;40 Variations (1930);Klavier;Leduc AL 27603
Klavier Solo ;Neue Musik;mittel;Alain, Jehan Ariste;Dix Pieces (1930/1931);Klavier;Leduc AL 27617
Klavier Solo ;Neue Musik;mittel;Albright, William;New Leaves: Spires, Steering Wheel, Valse triste, Trivet Song, Hymn (1991);Klavier;Peters EP 67561
Klavier Solo ;Neue Musik;mittel;Alessandro, Raffaele d';Quatre Visions op. 49;Klavier;Breitkopf und Härtel BG 956
Klavier Solo ;Neue Musik;mittel;Allers, Hans Günther;Sonatine für Klavier;Klavier;Möseler 41.177
Klavier Solo ;Neue Musik;mittel;Andergassen, Ferdinand;Drei Stücke op. 84;Klavier;Doblinger 01 327
Klavier Solo ;Neue Musik;mittel;Apostel, Hans-Erich;Fantasie op. 31;Klavier;Doblinger 01 520
Klavier Solo ;Neue Musik;mittel;Apostel, Hans-Erich;Sonatina ritmica op. 5;Klavier;Doblinger 01 518
Klavier Solo ;Neue Musik;mittel;Apostel, Hans-Erich;Vier kleine Klavierstücke op. 31;Klavier;Doblinger 01 520
Klavier Solo ;Neue Musik;mittel;Auric, Georges;Petite Suite (1927);Klavier;Leduc HE 29832
Klavier Solo ;Neue Musik;mittel;Auric, Georges;Sonatine (1923) G-dur;Klavier;Salabert RL 11369
Klavier Solo ;Neue Musik;mittel;Badings, Henk;Sonatine Nr. 1 (1936);Klavier;Schott ED 2576
Klavier Solo ;Neue Musik;mittel;Baird, Tadeusz;Sonatina Nr. 2;Klavier;Moeck 60 169
Klavier Solo ;Neue Musik;mittel;Bartók, Béla;Fünfzehn ungarische Bauernlieder;Klavier;Universal Edition 6370
Klavier Solo ;Neue Musik;mittel;Bartók, Béla;Mikrokosmos IV;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BH 0100056"
Klavier Solo ;Neue Musik;mittel;Bartók, Béla;Mikrokosmos V;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BH 0100057"
Klavier Solo ;Neue Musik;mittel;Bartók, Béla;Petite Suite;Klavier;Universal Edition 10 987
Klavier Solo ;Neue Musik;mittel;Bartók, Béla;Rumänische Volkstänze;Klavier;Universal Edition 5802
Klavier Solo ;Neue Musik;mittel;Bartók, Béla;Sonatine;Klavier;Schott ED 4397
Klavier Solo ;Neue Musik;mittel;Baur, Jürg;Aphorismen;Klavier;Breitkopf und Härtel 6278
Klavier Solo ;Neue Musik;mittel;Baur, Jürg;Drei Stücke im alten Stil;Klavier;Merseburger 26904
Klavier Solo ;Neue Musik;mittel;Benjamin, Arthur;Jamaican Rumba;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BH 0100095"
Klavier Solo ;Neue Musik;mittel;Berkeley, Lennox Randal;Five short pieces (1936) op. 4;Klavier;Shawnee Press CH 02233
Klavier Solo ;Neue Musik;mittel;Beyer, Frank Michael;Avanti. 15 Stücke;Klavier;Schott ED 7081
Klavier Solo ;Neue Musik;mittel;Beyer, Frank Michael;Variationen für Klavier;Klavier;Heinrichhofens 8656
Klavier Solo ;Neue Musik;mittel;Blacher, Boris;Trois pièces (1943);Klavier;Universal Edition 11 628
Klavier Solo ;Neue Musik;mittel;Blacher, Boris;Zwei Sonatinen (1940) op. 14;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BB 0101736"
Klavier Solo ;Neue Musik;mittel;Bloch, Ernest;Five Sketches in Sepia;Klavier;Music Sales GS 27647
Klavier Solo ;Neue Musik;mittel;Bloch, Ernest;Visions et Phrophéties;Klavier;Music Sales GS 32875
Klavier Solo ;Neue Musik;mittel;Bodemer, Martin K.;Rondo (2000) op. 19;Klavier;Bodemer
Klavier Solo ;Neue Musik;mittel;Braunfels, Walter;Lyrischer Kreis. Sieben Stücke;Klavier;"Ries &amp; Erler RE 10072"
Klavier Solo ;Neue Musik;mittel;Bresgen, Cesar;Balkanstudien II;Klavier;Peters 5967b
Klavier Solo ;Neue Musik;mittel;Bresgen, Cesar;Impressionen I;Klavier;Breitkopf und Härtel 1057
Klavier Solo ;Neue Musik;mittel;Bridge, Frank;3 Sketches;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BH 0101579"
Klavier Solo ;Neue Musik;mittel;Britten, Benjamin;Five Waltzes (1923-1925) op. 3;Klavier;Faber Music 500794
Klavier Solo ;Neue Musik;mittel;Britten, Benjamin;Night Piece (1963) B-dur;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BH 0100123"
Klavier Solo ;Neue Musik;mittel;Burkhard, Willy;Elf kleine Stücke op. 31;Klavier;Bärenreiter BA 4141
Klavier Solo ;Neue Musik;mittel;Casella, Alfredo;Berceuse triste (1909) op. 14;Klavier;Salabert EAS 05651
Klavier Solo ;Neue Musik;mittel;Casella, Alfredo;Pezzi infantili. 11 Kinderstücke (1920);Klavier;Universal Edition 6878
Klavier Solo ;Neue Musik;mittel;Cerha, Friedrich;Klavierstücke für Kinder oder solche, die es werden wollen (1964);Klavier;Universal Edition 19059
Klavier Solo ;Neue Musik;mittel;Chávez, Carlos;10 Preludes;Klavier;Music Sales GS 32757
Klavier Solo ;Neue Musik;mittel;Chávez, Carlos;Early Piano Pieces I;Klavier;Music Sales GS 80236
Klavier Solo ;Neue Musik;mittel;Chávez, Carlos;Sonatine;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BHI 0102641"
Klavier Solo ;Neue Musik;mittel;Copland, Aaron;Four Piano Blues (1926, 1934, 1947, 1948);Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BHI 0100143"
Klavier Solo ;Neue Musik;mittel;Copland, Aaron;Night Thoughts. Homage to Ives (1972);Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BH 0100141"
Klavier Solo ;Neue Musik;mittel;David, Thomas Christian;Bagatellen;Klavier;Doblinger 01 542
Klavier Solo ;Neue Musik;mittel;Degen, Helmut;Drei Sonatinen;Klavier;Bärenreiter SM 1744
Klavier Solo ;Neue Musik;mittel;Degen, Helmut;Spielmusik;Klavier;Bärenreiter SM 1101
Klavier Solo ;Neue Musik;mittel;Degen, Helmut;Suite;Klavier;Bärenreiter SM 1100
Klavier Solo ;Neue Musik;mittel;Denissow, Edison;Kinderstücke. 15 Stücke (1989);Klavier;Sikorski 6877
Klavier Solo ;Neue Musik;mittel;Dichler, Josef;Sechs kleine Stücke;Klavier;Doblinger 01303
Klavier Solo ;Neue Musik;mittel;Distler, Hugo;Elf kleine Klavierstücke für die Jugend op. 15 b;Klavier;Bärenreiter BA 1803
Klavier Solo ;Neue Musik;mittel;Dobrowen, Issai;Deux Valses op. 6;Klavier;Universal Edition 7321
Klavier Solo ;Neue Musik;mittel;Durey, Louis;Trois Préludes op. 26;Klavier;Billaudot EFM 1679
Klavier Solo ;Neue Musik;mittel;Durkó, Zsolt;Zwerge und Riesen;Klavier;Editio Musica Budapest Z 7383
Klavier Solo ;Neue Musik;mittel;Dutilleux, Henri;Au gré des ondes. Six petites pièces (1946);Klavier;Leduc AL 20446
Klavier Solo ;Neue Musik;mittel;Eben, Petr;Briefe an Milena (1991);Klavier;Schott ED 8125
Klavier Solo ;Neue Musik;mittel;Eder, Helmut;Rhythmische Klavierstücke op. 18;Klavier;Doblinger 01580
Klavier Solo ;Neue Musik;mittel;Einem, Gottfried von;Vier Klavierstücke op. 3;Klavier;Universal Edition 11 471
Klavier Solo ;Neue Musik;mittel;Einem, Gottfried von;Zwei Sonatinen op. 7;Klavier;Universal Edition 11911
Klavier Solo ;Neue Musik;mittel;Erdmann, Dietrich;5 Epigrammes (1970);Klavier;Breitkopf und Härtel BG 1086
Klavier Solo ;Neue Musik;mittel;Feldman, Morton;For bunita marcus;Klavier;Universal Edition 17996
Klavier Solo ;Neue Musik;mittel;Feldman, Morton;Palais de mari;Klavier;Universal Edition 30238
Klavier Solo ;Neue Musik;mittel;Fontyn, Jacqueline;Aura. Hommage à Brahms (1982);Klavier;Peer 3013
Klavier Solo ;Neue Musik;mittel;Fortner, Wolfgang;Sonatina;Klavier;Schott ED 2345
Klavier Solo ;Neue Musik;mittel;Françaix, Jean;Scherzo (1932);Klavier;Schott ED 2477
Klavier Solo ;Neue Musik;mittel;Françaix, Jean;The Françaix Collection;Klavier;Schott ED SMC 537
Klavier Solo ;Neue Musik;mittel;Genzmer, Harald;1. Sonatine (1940);Klavier;Schott ED 2886
Klavier Solo ;Neue Musik;mittel;Genzmer, Harald;3. Sonatine (1959);Klavier;Schott ED 5067
Klavier Solo ;Neue Musik;mittel;Genzmer, Harald;Movimenti Musicali (1995);Klavier;Peters 8955
Klavier Solo ;Neue Musik;mittel;Ginastera, Alberto;American Preludes I, II;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock CF 0106147, 0106103"
Klavier Solo ;Neue Musik;mittel;Ginastera, Alberto;Rondo nach argentinischen Kinderliedern;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BHI 0100250"
Klavier Solo ;Neue Musik;mittel;Ginastera, Alberto;Sonaten 2 und 3 op. 53, 55;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BHI 0101413, 0101234"
Klavier Solo ;Neue Musik;mittel;Glass, Philip;Solo Piano (1979-1988);Klavier;Music Sales AM 82181
Klavier Solo ;Neue Musik;mittel;Goossens, Eugene;Kaleidoscope op. 18;Klavier;Shawnee Press CH 02027
Klavier Solo ;Neue Musik;mittel;Haas, Joseph;Sonate D-dur op. 61,1;Klavier;Schott ED 1729
Klavier Solo ;Neue Musik;mittel;Halffter, Cristóbal;El ser humano muere solamente cuando lo olvidan. Pagina en recuerdo de Arthur Rubinstein;Klavier;Universal Edition 30133
Klavier Solo ;Neue Musik;mittel;Hasse, Jean;kinkh (1984/1985);Klavier;Visible
Klavier Solo ;Neue Musik;mittel;Hauer, Joseph Matthias;Klavierstücke op. 3, 9, 10, 16;Klavier;Universal Edition 8380
Klavier Solo ;Neue Musik;mittel;Hauer, Joseph Matthias;Nomos in fünf Teilen (1913) op. 2;Klavier;Doblinger FV 756
Klavier Solo ;Neue Musik;mittel;Heller, Barbara;Zwei Klavierstücke: Toccatina, Tonkette (1962, 1986);Klavier;Furore 101
Klavier Solo ;Neue Musik;mittel;Hessenberg, Kurt;Sonatine op. 17;Klavier;Süddeutscher Musikverlag 1038
Klavier Solo ;Neue Musik;mittel;Hindemith, Paul;Kleine Klaviermusik (1929) op. 45,4;Klavier;Schott ED 1466
Klavier Solo ;Neue Musik;mittel;Hindemith, Paul;Ludus tonalis (1942), (Auswahl);Klavier;Schott ED 3964
Klavier Solo ;Neue Musik;mittel;Hummel, Franz;Unbedeutende Romanze;Klavier;Accent
Klavier Solo ;Neue Musik;mittel;Höller, Karl;Sonatine op. 58,2;Klavier;Schott ED 4818
Klavier Solo ;Neue Musik;mittel;Ibert, Jacques;Histoires. 10 Stücke;Klavier;Leduc AL 16512
Klavier Solo ;Neue Musik;mittel;Janosa, Felix;Science Fiction Piano. 19 galaktische Klavierstücke;Klavier;"Hug &amp; Co ECB 6048"
Klavier Solo ;Neue Musik;mittel;Jolas, Betsy;Une journée de Gadad. Suite pour enfants (1983);Klavier;Leduc AL 27118
Klavier Solo ;Neue Musik;mittel;Kabalewski, Dmitri;Drei Rondos op. 30;Klavier;Sikorski 2190
Klavier Solo ;Neue Musik;mittel;Kabalewski, Dmitri;Sonatine op. 13,1 u. 13,2;Klavier;Sikorski 2117, 2118
Klavier Solo ;Neue Musik;mittel;Klein, Richard Rudolf;1. Sonate;Klavier;Heinrichhofens N 2423
Klavier Solo ;Neue Musik;mittel;Klein, Richard Rudolf;6 Sonatinen;Klavier;Heinrichhofens N 3364
Klavier Solo ;Neue Musik;mittel;Koch, Erland von;Pastorale;Klavier;Nordiska
Klavier Solo ;Neue Musik;mittel;Koch, Erland von;Sonatine Nr. 1 op. 41;Klavier;Nordiska
Klavier Solo ;Neue Musik;mittel;Koerppen, Alfred;Der Jahrmarkt;Klavier;Breitkopf und Härtel 6210
Klavier Solo ;Neue Musik;mittel;Korn, Peter Jona;Bagatellen Nr. 1-8 op. 11;Klavier;Benjamin Anton Musikverlage EE 3091-3098
Klavier Solo ;Neue Musik;mittel;Korngold, Erich Wolfgang;Der Schneemann. 4 leichte Stücke für Klavier;Klavier;Universal Edition 31266
Klavier Solo ;Neue Musik;mittel;Krenek, Ernst;Zwölf kurze Stücke (1938) op. 83;Klavier;Music Sales GS 32750
Klavier Solo ;Neue Musik;mittel;Lhotka-kalinski, Ivo;Microforms;Klavier;
Klavier Solo ;Neue Musik;mittel;Ligeti, György;Musica Ricercata. 11 Stücke (1951-1953);Klavier;Schott ED 7718
Klavier Solo ;Neue Musik;mittel;Lohse, Horst;Valses sentimentales et tristes (1999);Klavier;Gravis Edition 656
Klavier Solo ;Neue Musik;mittel;Louvier, Alain;Agrexandrins Bd. 1;Klavier;Leduc AL 2666325
Klavier Solo ;Neue Musik;mittel;Lutoslawski, Witold;Bukoliques (1952);Klavier;Polskie Wydawnictwo Muzyczne 6200
Klavier Solo ;Neue Musik;mittel;Lutoslawski, Witold;Drei Stücke für die Jugend (1953);Klavier;Polskie Wydawnictwo Muzyczne 5295
Klavier Solo ;Neue Musik;mittel;Lütter, Johann;Größere Sonatinen für Klavier Vol. 2: Sonatine Nr. 3 u. 4 a-moll, g-moll;Klavier;Dohr 20732
Klavier Solo ;Neue Musik;mittel;Malipiero, Gian Francesco;Cavalcate (1921);Klavier;Salabert EAS 6095
Klavier Solo ;Neue Musik;mittel;Malipiero, Gian Francesco;Preludi autumnali (1914);Klavier;Salabert RL 10454/D4
Klavier Solo ;Neue Musik;mittel;Marescotti, André François;Croquis;Klavier;Jobert Editions 562
Klavier Solo ;Neue Musik;mittel;Martinu, Bohuslav;5 Esquisses de Danses (1932);Klavier;Schott ED 2327
Klavier Solo ;Neue Musik;mittel;Martinu, Bohuslav;Dumka (1941);Klavier;Max Eschig 7833
Klavier Solo ;Neue Musik;mittel;Martinu, Bohuslav;Fenetre sur le Jardin. 4 pièces (1938);Klavier;Leduc Al 21722
Klavier Solo ;Neue Musik;mittel;Martinu, Bohuslav;Scherzo (1924);Klavier;Panton P1674
Klavier Solo ;Neue Musik;mittel;Martinu, Bohuslav;Skizzen/Spiele (1931);Klavier;Panton P 1881
Klavier Solo ;Neue Musik;mittel;Marx, Karl;Klaviermusik nach Volksliedern (1940) op. 40;Klavier;Bärenreiter BA 2079, 3509
Klavier Solo ;Neue Musik;mittel;Medek, Tilo;Adventskalender. 24 Klavierstücke (1972/1973);Klavier;Hansen 1029
Klavier Solo ;Neue Musik;mittel;Medek, Tilo;Meine kleine Nostalgie. 7 Charakterstücker (1974);Klavier;Music Sales WF 01028
Klavier Solo ;Neue Musik;mittel;Mihalovici, Marcel;4 Pastorales (1950) op. 62;Klavier;Leduc HE 31394
Klavier Solo ;Neue Musik;mittel;Milhaud, Darius;La muse ménagère. 15 kurze Stücke (1944) op. 255;Klavier;Elkan Vogel Presser 460-00021
Klavier Solo ;Neue Musik;mittel;Milhaud, Darius;Printemps I, II (1915-1920);Klavier;Max Eschig LS 16, LS 55
Klavier Solo ;Neue Musik;mittel;Milhaud, Darius;Quatre Romances sans Paroles (1933) op. 129;Klavier;Salabert EAS 14899/B2
Klavier Solo ;Neue Musik;mittel;Mompou, Frederico;Charmes. 6 Stücke (1920/1921);Klavier;Max Eschig 1474
Klavier Solo ;Neue Musik;mittel;Mompou, Frederico;Piano-Album (1915-1974);Klavier;Salabert EAS 18795
Klavier Solo ;Neue Musik;mittel;Neuring, Hans-Jürgen;Romantic Piano Solo. 20 Stücke;Klavier;Noetzel Edition N 4429
Klavier Solo ;Neue Musik;mittel;Nobis, Herbert;Hommage à Jelinek;Klavier;Moeck 5210
Klavier Solo ;Neue Musik;mittel;Obermayer, Klaus;Sauwaldtoccata;Klavier;VdMK 18
Klavier Solo ;Neue Musik;mittel;Pepping, Ernst;Zwei Romanzen;Klavier;Schott ED 2478
Klavier Solo ;Neue Musik;mittel;Persichetti, Vincent;Piano Sonatinas Nr. 1-3 op. 38, 45, 47;Klavier;Elkan Vogel Presser 460-00036
Klavier Solo ;Neue Musik;mittel;Petrassi, Goffredo;Petite pièce;Klavier;Zerboni Suvini 8388
Klavier Solo ;Neue Musik;mittel;Petri, Hasso Gottfried;2 Sonaten op. 166 & 167, Nordische Rhapsodie op. 172;Klavier;Noetzel Edition N 4511
Klavier Solo ;Neue Musik;mittel;Pezolt, Rainer;8 Miniaturen (1994);Klavier;DTKV 1274
Klavier Solo ;Neue Musik;mittel;Pierné, Gabriel;Album pour mes petits amis op. 14;Klavier;Leduc AL 24826
Klavier Solo ;Neue Musik;mittel;Poser, Hans;Bagatellen op. 1;Klavier;Sikorski 118
Klavier Solo ;Neue Musik;mittel;Poser, Hans;Sonatine Nr. 3;Klavier;Sikorski 505
Klavier Solo ;Neue Musik;mittel;Poulenc, Francis;3 Mouvements Perpetuels (1918, rev. 1962);Klavier;Music Sales CH 02050
Klavier Solo ;Neue Musik;mittel;Poulenc, Francis;Suite Française d'après Claude Gervaise (1935);Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock D 0101286"
Klavier Solo ;Neue Musik;mittel;Pousseur, Henri;Mnémosyne II (1977);Klavier;Zerboni Suvini S 7661 Z
Klavier Solo ;Neue Musik;mittel;Prokofjew, Sergej;Erzählungen der alten Grossmutter op. 31;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BH 0100611"
Klavier Solo ;Neue Musik;mittel;Prokofjew, Sergej;Gavotte op. 77,4;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BH 0101360"
Klavier Solo ;Neue Musik;mittel;Rakow, Nikolai;Kinderstücke;Klavier;Sikorski 6515
Klavier Solo ;Neue Musik;mittel;Raphael, Günter;Sonatina seria op. 51,1;Klavier;Bärenreiter SM 1629
Klavier Solo ;Neue Musik;mittel;Rowley, Alec;Fünf kleine Präludien und Fugen;Klavier;Shawnee Press CH 02270
Klavier Solo ;Neue Musik;mittel;Rózsa, Miklós;Bagatellen (1932) op. 12;Klavier;Breitkopf und Härtel 5548
Klavier Solo ;Neue Musik;mittel;Rózsa, Miklós;Kaleidoscope. Sechs Stücke (1947);Klavier;Associated Music Publishers
Klavier Solo ;Neue Musik;mittel;Sancan, Pierre;Pièces enfantiles;Klavier;Durand
Klavier Solo ;Neue Musik;mittel;Schiske, Karl;Kleine Suite op. 1;Klavier;Doblinger 01 325
Klavier Solo ;Neue Musik;mittel;Schostakowitsch, Dmitri;Aphorismen op. 13;Klavier;Breitkopf und Härtel 827, sik 2183
Klavier Solo ;Neue Musik;mittel;Schostakowitsch, Dmitri;Drei fantastische Tänze op. 5;Klavier;Sikorski 2182
Klavier Solo ;Neue Musik;mittel;Schroeder, Hermann;Minnelieder für Klavier;Klavier;Schott ED 3720
Klavier Solo ;Neue Musik;mittel;Schroeder, Hermann;Sonata piccola (1972);Klavier;Breitkopf und Härtel 1039
Klavier Solo ;Neue Musik;mittel;Schulhoff, Erwin;2. Suite (1924);Klavier;Universal Edition 7934K
Klavier Solo ;Neue Musik;mittel;Schulhoff, Erwin;Ostinato. Lustige Klavierstücke für große und kleine Kinder;Klavier;Universal Edition 7933
Klavier Solo ;Neue Musik;mittel;Schwarz-Schilling, Reinhard;Klaviermusik;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock BB 0101788"
Klavier Solo ;Neue Musik;mittel;Sehlbach, Erich Oswald;Musica domestica, Bd. 1 (10 kleine Stücke), Bd. 2 (8 kleine Stücke) op. 67;Klavier;Möseler 15.458, 15.459
Klavier Solo ;Neue Musik;mittel;Sehlbach, Erich Oswald;Sonate Nr. 6 (1958) G-dur op. 89;Klavier;Möseler 18.464
Klavier Solo ;Neue Musik;mittel;Seither, Charlotte;Klang und Schwebung;Klavier;Bärenreiter BA 7462
Klavier Solo ;Neue Musik;mittel;Seitz, Rüdiger;Apercus (Zwölf Stücke);Klavier;Doblinger 01 368
Klavier Solo ;Neue Musik;mittel;Strawinsky, Igor;Tango (1940);Klavier;Schott ED 4917
Klavier Solo ;Neue Musik;mittel;Strawinsky, Soulima;Sechs Sonatinen I, II;Klavier;Peters 6590a, b
Klavier Solo ;Neue Musik;mittel;Strawinsky, Soulima;Three Fairy Tales;Klavier;Peters 66 692
Klavier Solo ;Neue Musik;mittel;Sutermeister, Heinrich;Winterferien. Sieben Vortragsstücke;Klavier;Schott ED 6821
Klavier Solo ;Neue Musik;mittel;Szeligowski, Tadeusz;Sonatine;Klavier;Moeck 60144
Klavier Solo ;Neue Musik;mittel;Szelényi, István;Sonatine (1960);Klavier;Editio Musica Budapest vergriffen
Klavier Solo ;Neue Musik;mittel;Tajcevic, Marko;Balkantänze;Klavier;Schott ED 4930
Klavier Solo ;Neue Musik;mittel;Tajcevic, Marko;Lieder von der Mur-Insel;Klavier;Henle 166
Klavier Solo ;Neue Musik;mittel;Takács, Jenö;Klänge und Farben (1973/1974) op. 95;Klavier;Doblinger 01 370
Klavier Solo ;Neue Musik;mittel;Takács, Jenö;Wenn der Frosch auf Reisen geht. Sechs Stücke (1970);Klavier;Doblinger 01 312
Klavier Solo ;Neue Musik;mittel;Tansman, Alexandre;Pour les enfants. Heft 3;Klavier;Max Eschig 4103
Klavier Solo ;Neue Musik;mittel;Tansman, Alexandre;Quatre Nocturnes;Klavier;Universal Edition 12096
Klavier Solo ;Neue Musik;mittel;Tansman, Alexandre;Sonata rustica;Klavier;Universal Edition 8599
Klavier Solo ;Neue Musik;mittel;Toch, Ernst;Capricetti op. 36;Klavier;Schott ED 1825
Klavier Solo ;Neue Musik;mittel;Toch, Ernst;Kleinstadtbilder op. 49;Klavier;Schott ED 2082
Klavier Solo ;Neue Musik;mittel;Tomasi, Henri;Pièces brèves;Klavier;Lemoine Henry Editions 22281 HL
Klavier Solo ;Neue Musik;mittel;Trojahn, Manfred;Berceuse;Klavier;Bärenreiter BA 7092
Klavier Solo ;Neue Musik;mittel;Tscherepnin, Alexander;Petite suite (1918/1919) op. 6;Klavier;Durand
Klavier Solo ;Neue Musik;mittel;Tscherepnin, Alexander;Pièces sans titres (1915-1919) op. 7;Klavier;"Boosey&amp;Hawkes, Bote&amp;Bock D 0102396"
Klavier Solo ;Neue Musik;mittel;Ulrich, Jürgen;Mini-Sonate;Klavier;Möseler 41.160
Klavier Solo ;Neue Musik;mittel;Vieru, Anatol;Die Kinderwelt. Zwanzig Miniaturen;Klavier;Breitkopf und Härtel BG 819
Klavier Solo ;Neue Musik;mittel;Villa-Lobos, Heitor;Histórias de Carocinha. Ammenmärchen;Klavier;Schott 7898
Klavier Solo ;Neue Musik;mittel;Wiener, Jean;3 Moments de Musique;Klavier;Editions Musicales Transatlantiques 1648
Klavier Solo ;Neue Musik;mittel;Zbinden, Julien-François;Jazz-Sonatine op. 11;Klavier;Breitkopf und Härtel 6217
Klavier Solo ;Neue Musik;mittel;Zbinden, Julien-François;Suite brève en ut op. 1;Klavier;"Hog &amp; Co FF 8583"
Klavier Solo ;Neue Musik;mittel;Zett, Luis;Under the Velvet Moon. 17 Romantic and Groovy Piano Pieces;Klavier;"Hug &amp; Co GH 11644"
Klavier Solo ;Renassaince;mittel;Froberger, Johann Jacob;Ausgewählte Klavierwerke;Klavier;Schott ED 2356
Klavier Solo ;Romantik, Impressionismus;mittel;Borodin, Alexander;Kleine Suite;Klavier;Peters 4320
Klavier Solo ;Romantik, Impressionismus;mittel;Brahms, Johannes;Intermezzo op. 117,1;Klavier;Henle 121, pet 3931, UE 2294, sch UT 50 023
Klavier Solo ;Romantik, Impressionismus;mittel;Brahms, Johannes;Intermezzo op. 76,4 u. 7;Klavier;Henle 118, in: pet 3928
Klavier Solo ;Romantik, Impressionismus;mittel;Bruch, Max;Sechs Klavierstücke op. 12;Klavier;Breitkopf und Härtel 8114
Klavier Solo ;Romantik, Impressionismus;mittel;Burgmüller, Friedrich;18 Etüden op. 109;Klavier;Schott ED 175, pet 3103
Klavier Solo ;Romantik, Impressionismus;mittel;Burgmüller, Friedrich;La Chevaleresque Op.100 No.25;Klavier;
Klavier Solo ;Romantik, Impressionismus;mittel;Busoni, Ferruccio;"Sonatina Nr. 3 ""Ad usum infantis"" (1916)";Klavier;Breitkopf und Härtel 8160
Klavier Solo ;Romantik, Impressionismus;mittel;Busoni, Ferruccio;Suite Campèstre. 5 Charakterstücke Busoni-Verz. 81;Klavier;Breitkopf und Härtel 8127
Klavier Solo ;Romantik, Impressionismus;mittel;Busoni, Ferrucio;Macchietti Medioevali (1882/1883);Klavier;Breitkopf und Härtel 8129
Klavier Solo ;Romantik, Impressionismus;mittel;Chausson, Ernest;Paysage (1889) op. 38;Klavier;Salabert RL 05999/F2
Klavier Solo ;Romantik, Impressionismus;mittel;Chausson, Ernest;Quelques Danses (1896): (1) Dédicace, (2) Sarabande, (3) Pavane;Klavier;Salabert AR 5296/E5
Klavier Solo ;Romantik, Impressionismus;mittel;Chopin, Frédéric;Klavierstücke;Klavier;Birnbach 9
Klavier Solo ;Romantik, Impressionismus;mittel;Chopin, Frédéric;Mazurken op. 6,1, op. 7,1, op. 7,2;Klavier;Henle 264, pet 1902, UE 342
Klavier Solo ;Romantik, Impressionismus;mittel;Chopin, Frédéric;Nocturnes op. 9,2, op. 15,3, op. 37,1;Klavier;Henle 185, pet 1904, UE 344, sch UT 50 065
Klavier Solo ;Romantik, Impressionismus;mittel;Chopin, Frédéric;Polonaise g-moll, B-Dur;Klavier;Henle 217 (Hrsg: Zimmermann/Theopold)
Klavier Solo ;Romantik, Impressionismus;mittel;Chopin, Frédéric;Walzer op. 34,2, op. 69,1, op. 69,2, op. 70,2;Klavier;Henle 131, pet 1901, UE 341, sch 0295, 0301/0302
Klavier Solo ;Romantik, Impressionismus;mittel;Debussy, Claude;Ausgewählte leichte Klavierstücke;Klavier;Universal Edition 18584 (Hrsg: Roggenkamp, P.)
Klavier Solo ;Romantik, Impressionismus;mittel;Debussy, Claude;Children's Corner;Klavier;Peters 9159 c, HN 382, sch UT 50 082
Klavier Solo ;Romantik, Impressionismus;mittel;Debussy, Claude;Deux arabesques;Klavier;Henle 380 (Hrsg: Heinemann/Theopold), pet 9159a  Urtext (Hrsg: Klemm), pet 7259 (Hrsg: Swarsenski)
Klavier Solo ;Romantik, Impressionismus;mittel;Debussy, Claude;Suite bergamasque;Klavier;Henle 381, pet 9159 b
Klavier Solo ;Romantik, Impressionismus;mittel;Dvorák, Antonín;8 Humoresken Heft 1 u. 2 op. 101;Klavier;Simrock EE 1041, 1043
Klavier Solo ;Romantik, Impressionismus;mittel;Dvorák, Antonín;Ausgewählte Werke;Klavier;Schott ED 6882
